Organization Code,Organization Name,Audience Provider ID
183_10155,"Arkansas Children's Hospital Outpatient Clinics",4
183_9703,"CARTI",4
183_9595,"Cleburne Co. District Court",4
183_10063,"Cross",4
183_9563,"Ozarka College-Baxter County",4
183_9575,"Radiologist of Arkansas",4
183_9579,"St. Vincent Breast Clinci",4
183_9695,"UAMS Outpatient Clinics",4
183_6886,"1st Presbyterian School-Pine Bluff",4
183_7879,"A-1 Thompson Driving School",4
183_9239,"ABC Inspection Institute",4
183_2714,"Abiding Faith Christian",4
183_1000,"Abundant Life",4
183_9219,"Academic World of Cosmetology",4
183_1004,"Academics Plus Charter",4
183_1008,"Access Schools",4
183_8039,"ACEF-Forrest City",4
183_8031,"ACEF-Jonesboro",4
183_8027,"ACEF-Little Rock",4
183_8035,"ACEF-Morrilton",4
183_9587,"Acorn Public Schools",4
183_2726,"AEDD",4
183_1104,"Agape Academy",4
183_8019,"Agape College",4
183_2734,"Alexander Youth Services",4
183_9483,"All Children's Academy",4
183_2742,"Allied Tech Sciences-Helena",4
183_1012,"Allied Tech Sciences-LR",4
183_2746,"Allied Tech Sciences-Pine Bluff",4
183_2750,"Allied Tech Sciences-Stuttgart",4
183_1016,"Alma School District",4
183_1020,"Alpena School District",4
183_5026,"Alread School Campus",4
183_1024,"Altheimer Unified School District",4
183_7342,"Ambassador Academy-Greenbrier",4
183_7062,"Amity Head Start",4
183_1028,"Anthony School",4
183_6842,"Apple Project Upward Bound-Lyon College",4
183_1032,"Arbanna Baptist Academy",4
183_10075,"Arch Ford Career Academy",4
183_2778,"Arch Ford Coop",4
183_2782,"Archild",4
183_6686,"Arkadelphia Head Start",4
183_1036,"Arkadelphia School District",4
183_8375,"Arkansas Arts Center",4
183_1040,"Arkansas Baptist College",4
183_1044,"Arkansas Baptist School System",4
183_7915,"Arkansas Beauty College-Russellville",4
183_1048,"Arkansas Beauty School-Conway",4
183_5142,"Arkansas Beauty School-Little Rock",4
183_2790,"Arkansas Career Training Institute",4
183_9735,"Arkansas Christian Academy",4
183_7867,"Arkansas Christian Academy-Bryant",4
183_9475,"Arkansas College of Barbering",4
183_7791,"Arkansas Ctr. for Music Education",4
183_10103,"Arkansas Extended Learning",4
183_5218,"Arkansas Institute of Languages",4
183_1176,"Arkansas Northeastern College",4
183_8383,"Arkansas Pet Grooming School",4
183_8603,"Arkansas River Education Coop",4
183_2256,"Arkansas River Valley Montessori",4
183_1052,"Arkansas School for Math/Science/Arts",4
183_1056,"Arkansas School for the Blind",4
183_1060,"Arkansas School for the Deaf",4
183_8387,"Arkansas School of Ministry",4
183_9647,"Arkansas Tech Career Center",4
183_7663,"Arkansas Tech University-Ozark",4
183_1064,"Arkansas Tech University-Russellville",4
183_7963,"Arkansas Virtual Academy",4
183_1072,"Arkansas Youth Services System",4
183_1076,"Armorel School District",4
183_7447,"Arthur's Beauty College-Conway",4
183_7451,"Arthur's Beauty College-Fort Smith",4
183_1080,"Arthur's Beauty College-Jacksonville",4
183_5014,"Arthur's Beauty College-Pine Bluff",4
183_6762,"Ascent/Pediatric Care-Benton",4
183_6758,"Ascent/Pediatric Care-NLR",4
183_1084,"Ashdown School District",4
183_9991,"ASU Newport (Jonesboro)",4
183_9987,"ASU Newport (Marked Tree)",4
183_1088,"ASU-Beebe",4
183_9599,"ASU-Beebe(LRAFB Campus)",4
183_1092,"ASU-Heber Springs",4
183_1180,"ASU-Jonesboro",4
183_1100,"ASU-LRAFB",4
183_1188,"ASU-Mountain Home",4
183_1192,"ASU-Newport",4
183_9659,"ASU-Paragould",4
183_9467,"ASU-Searcy",4
183_1108,"Atkins School District",4
183_1112,"Augusta School District",4
183_1116,"Avilla Christian Academy",4
183_1120,"Bald Knob School District",4
183_2264,"Baptist Health Schools",4
183_1124,"Barton-Lexa School District",4
183_4698,"Batesville Christian School",4
183_1128,"Batesville School District",4
183_1132,"Bauxite School District",4
183_1136,"Bay School District",4
183_4954,"Beacon Hill Adventist & Elem.",4
183_1140,"Bearden School District",4
183_1144,"Beebe School District",4
183_6806,"Benton Head Start",4
183_1148,"Benton School District",4
183_3614,"Bentonville Adventist",4
183_1156,"Bentonville School District",4
183_1160,"Bergman School District",4
183_1164,"Berryville School District",4
183_6638,"Bismarck Head Start",4
183_1168,"Bismarck School District",4
183_1196,"Black River Technical College",4
183_1200,"Black Rock School District",4
183_8687,"Blackbird Academy of Arts",4
183_7671,"Blessed Hope Baptist College",4
183_1204,"Blessed Sacrament School",4
183_1208,"Blevins School District",4
183_1212,"Blytheville School District",4
183_7463,"BMA Seminary-Conway",4
183_1216,"Booneville School District",4
183_1220,"Bradford School District",4
183_1224,"Bradley School District",4
183_1228,"Brinkley School District",4
183_1232,"Brookland School District",4
183_2902,"Bruno-Pyatt",4
183_1236,"Bryant School District",4
183_1240,"Buffalo Island School District",4
183_7739,"Cabot Extended Learning",4
183_7751,"Cabot Montessori",4
183_1248,"Cabot School District",4
183_7591,"CADC Saline Co. Head Start",4
183_1252,"Caddo Hills School District",4
183_1256,"Calico Rock School District",4
183_7667,"Calvary Academy",4
183_4918,"Calvary Christian Academy-Benton",4
183_2918,"Calvary Christian School-Forrest City",4
183_8767,"Calvary's Cross Academy",4
183_2926,"Camden Christian Academy",4
183_1500,"Camden Fairview School District",4
183_9711,"CAPCA Head Start - Cabot",4
183_9715,"CAPCA Head Start - Gould",4
183_9719,"CAPCA Head Start - Lonoke",4
183_7142,"CAPCA Head Start-Beebe",4
183_7134,"CAPCA Head Start-Conway",4
183_3346,"CAPCA Head Start-Greenbrier",4
183_7154,"CAPCA Head Start-Heber Springs",4
183_7162,"CAPCA Head Start-Mills Ctr.",4
183_7150,"CAPCA Head Start-Quitman",4
183_7158,"CAPCA Head Start-Rose Bud",4
183_7146,"CAPCA Head Start-Searcy",4
183_4246,"CAPCA Head Start-Southside",4
183_2934,"Capital City Christian",4
183_1260,"Carlisle School District",4
183_2294,"Catholic Schools in Little Rock & NLR",4
183_1268,"Cave City School District",4
183_7186,"Cedar Heights Christian",4
183_1272,"Cedar Ridge School District",4
183_1276,"Cedarville School District",4
183_5002,"Center Hill School",4
183_1280,"Centerpoint School District",4
183_1284,"Central Arkansas Christian",4
183_8355,"Central Arkansas Library System",4
183_8047,"Central Arkansas Plumbing School",4
183_1739,"Central Baptist College",4
183_1292,"Charleston School District",4
183_7607,"Chenal Adult Day Services",4
183_2260,"Chenal Valley Montessori",4
183_8327,"Child & Youth Pediatric Clinic-Batesville",4
183_2994,"Children's House Montessori",4
183_5098,"Christ Lutheran School",4
183_7651,"Christian Ministries Academy",4
183_8179,"Civitan Services",4
183_4890,"Clara Muhammad School",4
183_1296,"Clarendon School District",4
183_3030,"Clark County Christian",4
183_1300,"Clarksville School District",4
183_1304,"Clay Co. School District",4
183_7771,"Clearview Christian-Heber Springs",4
183_7763,"Cleburne County Christian",4
183_1308,"Cleveland Co. School District",4
183_1312,"Clinton Public Schools",4
183_7394,"Clinton School of Public Service",4
183_2088,"College of the Ouachitas",4
183_3034,"Columbia Christian",4
183_7775,"Community Christian-Russellville",4
183_1320,"Community School-Heber Springs",4
183_1324,"Concord School District",4
183_9043,"Conway Adult Education Ctr.",4
183_7507,"Conway Apprenticeship",4
183_1328,"Conway Christian School",4
183_3046,"Conway Montessori",4
