Organization Code,Organization Name,Audience Provider ID
187_5131,"A Cab Taxi Service",4	
187_6115,"Abbott's Florist",4	
187_5191,"ABC Learning Center in Savoy",4	
187_6233,"ADM Offices in Decatur",4	
187_6325,"AFSCME Retirees Subchapter 88",4	
187_5803,"Amara Yoga & Arts",4	
187_5839,"American Legion Auxilary Champaign County",4	
187_6087,"American Legion Post #122",4	
187_6168,"American Legion Post #122",4	
187_6142,"AMERICAN LEGION POST 210 DANVILLE IL",4	
187_5883,"Anabel Hulling Early Learning Center",4	
187_5503,"Apostolic Life",4	
187_6159,"Apostolic New Birth Church",4	
187_6166,"Arcola Food Pantry",4	
187_6143,"Arthur Public Library",4	
187_6141,"Arthur United Methodist Church",4	
187_6293,"Attorneys' Title Guaranty Fund, Inc.",4	
187_6127,"Audibel Hearing Centers",4	
187_6109,"Bard Optical",4	
187_4204,"Beecher City",4	
187_6184,"Bell Ridge Christian Church",4	
187_6169,"Bell Sports",4	
187_4999,"Bellflower Country Opry",4	
187_4971,"Bement Country Opry",4	
187_6146,"Bible Baptist Church",4	
187_6285,"Bravarian Pavilion School",4	
187_5767,"Bright Beginnings Day Care & Preschool",4	
187_5871,"Broadlands United Community Church Youth Group",4	
187_4448,"Broadway Christian Church",4	
187_5895,"Bryant Industries",4	
187_6187,"Buck Grove Community Church",4	
187_4967,"Carroll Community Center",4	
187_4983,"Cayuga America Legion Post 263",4	
187_6317,"CCAR Industries",4	
187_6397,"Center For Your Health",4	
187_6101,"Central Illinois Bank",4	
187_5279,"Central Illinois Children's Chorus",4	
187_6108,"Champaign Chiropractic Clinic",4	
187_5723,"Champaign Urbana Dart Association",4	
187_5139,"Champaign West Rotary",4	
187_5807,"Champaign-Urbana Dialysis",4	
187_6341,"Charleston Carnegie Public Library",4	
187_6321,"Charleston Food Pantry",4	
187_4987,"Charleston Moose Lodge",4	
187_6148,"Charleston Township",4	
187_4210,"Chester East Lincoln",4	
187_4817,"Children's Circle Daycare",4	
187_6111,"Chittick Family Eye Care - Danville",4	
187_5299,"Chrisman Public Library",4	
187_6181,"Chrisman United Methodist Church",4	
187_4205,"Christ Lutheran High School",4	
187_4268,"Circle of Friends Adult Day Center",4	
187_6130,"Clifford-Jacobs Forging Company",4	
187_5427,"Clinton Community YMCA",4	
187_5067,"Community Resource &",4	
187_6393,"Complete list of closings on illinoishompage.net",4	
187_6154,"Connexion Church",4	
187_6129,"Corray Sanitation Service",4	
187_6128,"Corson Music",4	
187_5351,"Country Junction",4	
187_6112,"Cox Electric Motor Service, Inc",4	
187_6313,"CRIS Healthy Aging Center",4	
187_6103,"Crosspoint Human Services",4	
187_5879,"CrossRoads Fellowship Church",4	
187_6329,"Cunningham Children's Home",4	
187_6189,"Cunningham Township Assessors Office",4	
187_6333,"Cunningham Township Supervisor's Office",4	
187_5855,"Curves of Mattoon",4	
187_6110,"Danville Area Food Pantry",4	
187_6122,"Danville Bell Credit Union",4	
187_6067,"Danville Family YMCA",4	
187_6131,"Danville Family YMCA",4	
187_4923,"Danville Light Opera",4	
187_5091,"Danville Polyclinic",4	
187_5499,"Danville Public Library",4	
187_6165,"Debbies Dance Studio",4	
187_4887,"Decatur Public Library",4	
187_4605,"Don Moyer Boys & Girls Club",4	
187_6117,"Drs. Dankle, Brunson, & Lee",4	
187_6179,"East Harrison St. Church of God",4	
187_5075,"Edgar County Public Health Department",4	
187_5859,"EIU CCR&R",4	
187_5207,"Embarras River Basin Agency (ERBA)",4	
187_6170,"Empty Arms Support Group",4	
187_5471,"Evapco Midwest",4	
187_6149,"Faith Baptist Church",4	
187_6079,"Family Praise Center of Decatur",4	
187_4883,"Farmer City United Methodist Church",4	
187_6167,"Fashion Afrique French Program",4	
187_6104,"First Bank (Champaign Co Branches)",4	
187_6105,"First Bank (Champaign Co. Branches)",4	
187_6071,"First Baptist Church Danville",4	
187_5095,"First Baptist Church Preschool Savoy",4	
187_6139,"First Presbyterian Church",4	
187_4991,"First United Methodist Church",4	
187_5811,"Fisher Foursquare Church",4	
187_6152,"Forty Martyrs Catholic Church",4	
187_6140,"Full Gospel Christian Fellowship",4	
187_6421,"Full-Fill Industries",4	
187_5171,"Georgetown Public Library",4	
187_5315,"Gifford Chamber of Commerce",4	
187_5399,"Gifford Chamber of Commerce",4	
187_6172,"Girl Scout Troop 2611",4	
187_5359,"Go Girl Aerobics & Fitness Villa Grove",4	
187_6381,"Gordyville LLC",4	
187_5887,"Grace Church of Mahomet",4	
187_5899,"Greater Shiloh Baptist Church",4	
187_6145,"Hair It Is",4	
187_5863,"Hanger Prosthetics and Orthotics",4	
187_6156,"Heartland Family Worship Center",4	
187_5119,"Henderson's Karate/Judo Academy",4	
187_4372,"Heritage Baptist Academy - Gays",4	
187_5063,"HMD Academy",4	
187_5511,"Homer Community Library",4	
187_6121,"House of Miracles",4	
187_6183,"Hume United Methodist Church",4	
187_4903,"Illini Country Stitchers Quilt Guild",4	
187_6132,"Immanuel Lutheran Church",4	
187_6095,"Immanuel Lutheran Church Danville",4	
187_5835,"International Paper",4	
187_6163,"JAMES",4	
187_6107,"Kelly Printing Company, Inc.",4	
187_6153,"Kelsey Furniture Co",4	
187_4384,"Kids 1st Childcare - Champaign",4	
187_5079,"Kindercare Champaign",4	
187_6114,"Kirby Medical Group",4	
187_6171,"Krannert Center for the Performing Arts",4	
187_6144,"LeRoy Replex",4	
187_5823,"Little Hearts and Hands",4	
187_4432,"Little Lambs Daycare Oakwood",4	
187_6125,"Locks Of Glory Salon",4	
187_4416,"LSA Decatur",4	
187_5159,"Mahomet Area Youth Club",4	
187_5543,"Mahomet Church of the Nazarene",4	
187_4995,"Majestic Hall Mt. Zion",4	
187_5035,"Mason Point",4	
187_5083,"Mattoon Precision Manufacturing Inc. (MPMI)",4	
187_5107,"Mettler Center in Champaign",4	
187_4396,"Mid-America Prep School",4	
187_6035,"Midland States Bank",4	
187_6369,"Midwest Believers Church in Champaign",4	
187_6158,"Monticello Dance and Gym",4	
187_6100,"Monticello UMC ROCK Program",4	
187_5183,"Morning Star Food Bank in Rossville",4	
187_5055,"Moultrie County Sheriffs Office",4	
187_5031,"Mueller Company",4	
187_6157,"New Hope Church of God in Christ",4	
187_6385,"New Jerusalem Foundation of H.O.P.E",4	
187_6389,"New Jerusalem Missionary Baptist Church",4	
187_6164,"New Transitions",4	
187_5123,"Nudo Products",4	
187_6116,"OAK ORTHOPEDICS",4	
187_5195,"Oakwood Food Pantry",4	
187_5175,"Oakwood Little Angels Daycare",4	
187_5491,"Oakwood Public Library",4	
187_6185,"Olivet Church Of The Nazarene",4	
187_4440,"Open Hearts Four Square Church",4	
187_5607,"Osher Lifelong Learning Institute",4	
187_4364,"Other Cancellations",4	
187_5155,"Paris YMCA",4	
187_4807,"Peace Meal Kitchen Rantoul",4	
187_5199,"Pearl's Group Daycare in Champaign",4	
187_6134,"Pennsylvania Avenue Baptist Church",4	
187_4284,"Piatt County Head Start",4	
187_6337,"Piatt County Public Transportation-PIATTRAN",4	
187_6118,"Polyclinic Medical Equipment",4	
187_4615,"Prairie Center Health Systems",4	
187_6120,"Prairie Land Dance Club",4	
187_5819,"Pro-Active Wellness and Injury Center",4	
187_5303,"Provena Covenant Medical Center",4	
187_4436,"Rantoul Public Library",4	
187_6173,"Real Life Young Moms",4	
187_6135,"Restoration Urban Ministries",4	
187_4919,"Roberts and Fallville United Methodist Church",4	
187_4328,"Robertson Charter School",4	
187_6019,"Rose and Taylor Barber & Beauty",4	
187_6182,"Rossville-Alvin Grade School Drama Club",4	
187_6175,"Ryt-Way Gibson City",4	
187_5039,"Sadorus Seniors",4	
187_5259,"Salt & Light Ministries",4	
187_6102,"Second Church of Christ",4	
187_6137,"Second Church of Christ - Danville",4	
187_6113,"Sew Sassy",4	
187_5003,"Shelbyville American Legion Post 81",4	
187_4211,"St. Anthony - Effingham",4	
187_5891,"St. Edmund Parish Watseka",4	
187_6176,"St. John the Baptist Catholic Church",4	
187_6177,"St. Johns Lutheran Church",4	
187_6417,"St. Patricks Church Urbana",4	
187_5387,"St. Paul's Lutheran Church Decatur",4	
187_4207,"St. Thomas School in Philo",4	
187_6119,"Staske Photography",4	
187_5519,"Stepping Stones Children Center",4	
187_6136,"Stone Creek Church",4	
187_5563,"Strawberry Fields Urbana",4	
187_4943,"Sullivan Bingo Hall",4	
187_5087,"Sullivan Senior Center",4	
187_6345,"Sylvan Learning Center",4	
187_6124,"Tasha's Tiny Toddler Daycare",4	
187_6123,"The Church Of The Living God",4	
187_5323,"The Fitness Center Champaign",4	
187_6349,"The Key Club Adult Daycare Center in Danville",4	
187_5439,"The Mattoon Academy of Gymnastics",4	
187_6174,"The Vineyard Church",4	
187_6106,"Tower Loans of Illinois",4	
187_5815,"Trans-Continental Insurance Brokers",4	
187_6188,"Trinity United Church of Christ",4	
187_6180,"Trinity United Church of Christ Westville Illinois",4	
187_4931,"U of I Champaign County Extension",4	
187_6150,"UA Plumbers & Pipefitters Local #149",4	
187_5867,"Unity Baptist Church",4	
