Organization Code,Organization Name,Audience Provider ID
182_2980,"A Bright Future Learning Center",4	
182_3376,"A Step Ahead, LLC",4	
182_3660,"A to Z Learning Daycare",4	
182_2844,"ABC Daycare-Preschool",4	
182_1008,"ABC Kiddie Kampus",4	
182_3764,"ABC Learning Tree",4	
182_2388,"Abington Christian Academy",4	
182_3828,"Abington Heights Civic League Dance Academy",4	
182_1504,"Abington Heights School District",4	
182_3076,"Abundant Blessings Christian Daycare",4	
182_3648,"Access Services",4	
182_1012,"Acorns to Oaks",4	
182_3728,"Actors Circle",4	
182_2948,"Adventures in Learning Child Care",4	
182_1576,"All Saints Academy/Scranton",4	
182_3620,"All the latest closings and delays on",4	
182_3088,"Allied Services dePaul School",4	
182_3368,"Alnoor Academy",4	
182_1024,"Alternative Learning Center",4	
182_1560,"Alvernia University/Schuylkill Ctr",4	
182_3208,"Amedisys Hospice",4	
182_3508,"American Culinary Fed of NEPA",4	
182_3704,"American Legion Post 1",4	
182_1028,"Apple Tree/Susquehanna Prep",4	
182_3380,"ASSET, Inc.",4	
182_1580,"Assumption BVM/Pottsville",4	
182_3312,"Avoca Basketball League",4	
182_1516,"Bald Eagle Area School District",4	
182_1520,"Bangor Area School District",4	
182_1592,"Baptist Bible College & Seminary",4	
182_3644,"Baptist Tabernacle",4	
182_3172,"Barone Beauty Academy",4	
182_2780,"Bear Creek Community Charter School",4	
182_1524,"Bellefonte Area School District",4	
182_1036,"Belotti Learning Window",4	
182_1528,"Belvidere School District",4	
182_1532,"Benton Area School District",4	
182_1536,"Berwick Area School District",4	
182_2796,"BHA Schools",4	
182_2800,"Big Daddys Daycare",4	
182_1636,"Blast IU 17",4	
182_1540,"Bloomsburg Area School District",4	
182_1640,"Bloomsburg Christian School",4	
182_1564,"Bloomsburg University",4	
182_1544,"Blue Mountain School District",4	
182_2940,"Blue Mtn Health System Adult DC",4	
182_2740,"Blue Ridge School District",4	
182_2928,"Boys & Girls Clubs of NEPA",4	
182_3860,"Bradford County Action",4	
182_2904,"Bradford Cty Senior Center",4	
182_3456,"Bridon American",4	
182_1568,"Bucknell University",4	
182_1040,"Building Blocks Learning Center",4	
182_3260,"C & J Mountain Warriors Karate",4	
182_3516,"C.A.P.P.A.",4	
182_2916,"Canaan Christian Academy",4	
182_1548,"Canton Area School District",4	
182_3800,"Carbon Lehigh IU 21",4	
182_1552,"Carbondale Area School District",4	
182_1672,"Career Tech Center/Lackawanna",4	
182_1048,"Caring Place, The",4	
182_3296,"Castle Transportation",4	
182_3308,"Catholic Social Services",4	
182_2776,"Catholic Youth Center Daycare",4	
182_3436,"CCL Tube",4	
182_1052,"Center for Independent Living/Williamsport",4	
182_1556,"Central Columbia School District",4	
182_3336,"Central Susquehanna LPN Career Ctr",4	
182_3632,"Century Club of Scranton",4	
182_3164,"Character Builders Christian Academy",4	
182_3492,"Child Development Council of NEPA",4	
182_2964,"Childrens Academic Learning Ctr",4	
182_2972,"Childrens Ark",4	
182_1056,"Childrens Cornerstone",4	
182_2772,"Childrens Discovery Center",4	
182_3304,"Childrens Education-Learning Ctr",4	
182_3320,"Church Alive",4	
182_3264,"Cinram Manufacturing, LLC",4	
182_3364,"Citterio",4	
182_2868,"Clear Brook",4	
182_1064,"Close to Home Child Care",4	
182_3200,"Colts Bus Company",4	
182_1684,"Columbia County Christian School",4	
182_1688,"Columbia/Montour AVTS",4	
182_3340,"Commonwealth Medical College",4	
182_3424,"Concentra Urgent Care",4	
182_3716,"Concern Counseling Services",4	
182_1072,"Cookie Corner",4	
182_1076,"Cori's Place",4	
182_1080,"Count On Us Preschool",4	
182_1464,"Creating Unlimited Possibilities (UCP)",4	
182_1084,"Creative Critters Child Care Center",4	
182_2784,"Creative Learning Center",4	
182_1700,"Crestwood School District",4	
182_3656,"Crossroads Counseling, Inc.",4	
182_2884,"Crossroads Discovery Center",4	
182_3796,"CSC Partial Program",4	
182_1704,"Dallas School District",4	
182_1708,"Damascus Christian Academy",4	
182_1712,"Danville Area School District",4	
182_1088,"Danville Child Development Center",4	
182_1092,"Day Nursery Association",4	
182_3544,"Daydreamers Child Care",4	
182_1724,"Delaware Valley/PA School District",4	
182_1732,"DeSales University",4	
182_3628,"Deutsch Institute",4	
182_3480,"Devereux Pocono",4	
182_3120,"Doodle Bug Preschool",4	
182_3272,"DUI Services of Monroe County",4	
182_1736,"Dunmore School District",4	
182_3288,"Early Learning Center at Scranton JCC",4	
182_1744,"East Lycoming School District",4	
182_3576,"East Mountain LC",4	
182_1748,"East Stroudsburg Area School District",4	
182_3244,"East Stroudsburg University",4	
182_3072,"EIEIO Child Care Center",4	
182_1764,"Elk Lake School District",4	
182_3592,"Empire Beauty School/Shamokin Dam",4	
182_2860,"Endless Mtn Learning Center",4	
