Organization Code,Organization Name,Audience Provider ID
185_89858,"Planned Parenthood-Batavia",4	
185_89860,"Planned Parenthood-Canandaigua",4	
185_89840,"U.S. Bankruptcy Court-Buffalo",4	
185_89841,"U.S. Bankruptcy Court-Rochester",4	
185_89635,"Watts Education",4	
185_89998,"WROC System 1",4	
185_89999,"WROC System 2",4	
185_89997,"WROC System 3",4	
185_89996,"WROC System 4",4	
185_89716,"Y. W. C. P. Charter School",4	
185_89575,"Yates Office Aging-Transportation",4	
185_89823,"A Time for Dance",4	
185_88752,"A.B.C.",4	
185_88750,"A.R. Arena Products",4	
185_89856,"A.R.C. of Orleans",4	
185_89542,"A.R.C. of Yates",4	
185_88947,"AA Tech",4	
185_88559,"AAA Driver Safety Pgm",4	
185_88944,"AAA Travel Branches",4	
185_88512,"ABC Head Start",4	
185_88777,"ABVI",4	
185_88618,"Academy for Career Dev.",4	
185_89775,"Advanced Atomization Tech.",4	
185_89012,"Advanced Facilites Srvcs.",4	
185_88753,"Advanced Interconnect Man.",4	
185_88408,"Advantage Professionals",4	
185_88557,"Aenon Baptist Church",4	
185_89903,"Agape Black Belt Center",4	
185_88407,"Ajax Glass & Mirror",4	
185_88758,"AJL Manufacturing",4	
185_88200,"Albion Central",4	
185_89080,"Albion-First United Meth.",4	
185_88204,"Alexander Central",4	
185_88696,"Alfred State College",4	
185_88624,"Alfred University",4	
185_88240,"All Saints Catholic",4	
185_88754,"Allen-Bailey Tag & Label",4	
185_88100,"Allendale Columbia",4	
185_88760,"Alliance Precision Plastics",4	
185_88487,"Aloi Materials Handling",4	
185_88679,"Alph. Campus Childcare",4	
185_88762,"Alstom Signaling",4	
185_88671,"Alzheimer's Assoc.",4	
185_88442,"AM&M Companies",4	
185_88755,"AM&M Financial Services",4	
185_88768,"Ambrell",4	
185_88498,"American Custom Exteriors",4	
185_88461,"American Filtration Tech.",4	
185_88766,"American Packaging Corp.",4	
185_88770,"AMETEK Power Instr.",4	
185_88583,"Angel Heart Chapel",4	
185_89008,"Annie's Ark",4	
185_89003,"Antioch Missionary Baptist",4	
185_88772,"Applied Coatings",4	
185_88773,"Applied Energy Solutions",4	
185_88774,"Applied Image Group",4	
185_88101,"Aquinas Institute",4	
185_89746,"ARC of Monroe",4	
185_89805,"ARC of Orleans/O.E. Day Hab",4	
185_89094,"Arcadia Sr. Citizens",4	
185_88102,"Archangel School",4	
185_88568,"Ark of Jesus Church",4	
185_88717,"Arts & Cultural Council",4	
185_89506,"ARYZTA LLC",4	
185_88244,"Asbury Day Care",4	
185_88776,"Associated Brands",4	
185_88519,"Assumption Church-Fairpt.",4	
185_89552,"Atlas Test Prep.",4	
185_88213,"Attica Central",4	
185_89535,"Augustin Children's Pgm of CP Roch.",4	
185_88672,"Automotive Corp.",4	
185_88103,"Avon Central",4	
185_88712,"Avon District 2356",4	
185_89783,"Avon Nursery School",4	
185_88423,"Axiom Corporation",4	
185_88479,"B&L Wholesale",4	
185_88778,"Baldwin Richardson Foods",4	
185_88205,"Batavia City Schools",4	
185_89816,"Batavia Downs Gaming",4	
185_89878,"Bausch & Lomb",4	
185_88292,"Bay Knoll SDA Church",4	
185_89615,"Bell & Howell BCC",4	
185_88271,"Benton Mennonite",4	
185_88422,"Bergmann Associates",4	
185_88885,"Berry Plastics",4	
185_89835,"Bethel Christian Fellowship",4	
185_89208,"Bingo Palace",4	
185_88784,"Birds Eye Foods",4	
185_88563,"Birthright of Roch.",4	
185_88104,"Bishop Kearney",4	
185_88223,"Bloomfield",4	
185_88573,"BMP America",4	
185_88418,"Bob Johnson Auto.",4	
185_89301,"BOCES Newark Education Ctr.",4	
185_88786,"Bodycote Thermal Proc.",4	
185_88492,"Bonadio & Co.",4	
185_88788,"Borg Imaging",4	
185_89705,"Botsford School of Dance",4	
185_89088,"Boys & Girls Club of Roch.",4	
185_88790,"Branson Ultrasonics",4	
185_88667,"Bread of Life  Acdmy.",4	
185_89007,"Breast  Cancer Coalition-Roch.",4	
185_89911,"Breath of Life SDA Church",4	
185_89781,"Bridal Belle",4	
185_88577,"Bridge Builders Min.",4	
185_89193,"Bridges for Brain Injury",4	
185_88666,"Brighton Clown College",4	
185_89843,"Brighton Family Medicine",4	
185_88673,"Brighton Library",4	
185_88105,"Brighton Schools",4	
185_88460,"Brite Computers",4	
185_88106,"Brockport Central",4	
185_89095,"Brockport Elks Lodge",4	
185_89786,"Brockport Free Methodist Church",4	
185_89225,"Browncroft Comm. Church",4	
185_88565,"Browncroft Discovery Preschool",4	
185_88511,"Bryant&Stratton",4	
185_88404,"Burns Personnel",4	
185_88431,"Business Methods,Inc.",4	
185_88206,"Byron-Bergen",4	
185_89889,"C.A.S.H. Free Tax Sites",4	
185_89562,"C.C.E. of Genesee Cty.",4	
185_88759,"C.D.S./Unistel",4	
185_88946,"Cadbury Schweppes",4	
185_88792,"Caldwell Manufact.",4	
185_88107,"Caledonia-Mumford",4	
185_88298,"Calv. Chap. Flow. City",4	
185_88264,"Calvary Chapel Christian",4	
185_88726,"Calvary Chapel Westside",4	
185_89039,"Calvary Chapel-Finger Lakes",4	
185_88716,"Calvary Chapel-Roch.",4	
185_88956,"Calvary Chapel-Webster",4	
185_88723,"Canalside Music Together",4	
185_88222,"Canandaigua",4	
185_88108,"Canandaigua Academy",4	
185_88265,"Canandaigua Montessori",4	
185_88630,"Care-A-Lot Child Care",4	
185_88794,"Career Development Srvcs.",4	
185_88937,"Career Systems Devel.",4	
185_89030,"Carestream Health",4	
185_88409,"Carlisle Auto Sales,Inc.",4	
185_88215,"Castile Christian Academy",4	
185_88109,"Catholic Diocese of Roch.",4	
185_88796,"Catholic Family Ctr.",4	
185_88564,"Center for Autism",4	
185_89020,"Center for Disability Rights",4	
185_88397,"Center for Dispute Settlement",4	
185_88668,"Central Library-Roch.",4	
185_88465,"CGI Communications, Inc.",4	
185_89200,"Champion Photochemistry",4	
185_88110,"Charles Finney School",4	
185_88398,"Charles Settlement House",4	
185_89886,"Charlotte Community Assoc.",4	
185_89882,"Child Care Council",4	
185_89060,"Children's Continuous Care",4	
185_88261,"Children's Hours School",4	
185_89034,"Chili Jazzercise",4	
185_89216,"Chili Public Library",4	
185_88111,"Christ Comm. Church School",4	
185_89810,"Christ Temple Church",4	
185_89217,"Christ the Good Shepherd",4	
185_89732,"Christ the King",4	
185_88804,"Christa Construction",4	
185_88278,"Chubb Hollow Mennonite",4	
185_89546,"Church of Christ",4	
185_89091,"Church of God by Faith",4	
185_89876,"Church Of Jesus Christ",4	
185_89220,"Church of Love Faith Ctr.",4	
185_88112,"Churchville-Chili",4	
185_88269,"Clyde Mennonite Parochial",4	
185_88113,"Clyde-Savannah",4	
185_88456,"CMI Communications",4	
185_89018,"Cobblestone Arts Ctr.",4	
185_88114,"Cobblestone School",4	
185_88467,"Cohber Press, Inc.",4	
185_89815,"COJIC",4	
185_88195,"Colgate Divinity School",4	
185_88509,"Comm.Cntr.-Hrg. & Speech",4	
185_88419,"CommNet Marketing, Inc.",4	
185_89893,"Communication/Hrg. & Speech",4	
185_88605,"Community Child Care",4	
185_89812,"Community Mutual Inc.",4	
185_89055,"Community Place-Grtr. Roch.",4	
185_88756,"Complemar Partners",4	
185_88432,"Concentrix Corporation",4	
185_88692,"Conesus Recreation",4	
185_88757,"Consolidated Container",4	
185_88795,"Constellation Brands",4	
185_88798,"Consumer Credit Counseling",4	
185_88948,"CooperVision-Fairport",4	
185_89741,"CooperVision-Scottsville",4	
185_89740,"CooperVision-West Henrietta",4	
185_89852,"Cornell Co-op Ext.-NWNY Team",4	
185_89831,"Cornell Co-op Ext.-Ontario Co.",4	
185_88126,"Cornerstone Christian Acdmy.",4	
185_88306,"Corpus Christi School",4	
185_88455,"Corsair Display Systems",4	
185_88800,"CP Rochester",4	
185_88634,"Creative Beginnings Child Care",4	
185_89892,"Creative Kidz",4	
185_88274,"Creekside Mennonite School",4	
185_89077,"Crestwood Children's Ctr.",4	
185_88801,"Crosman Corp.",4	
185_88803,"Cryovac Sealed Air",4	
185_89558,"Curves in Perry",4	
185_88220,"Dalton-Nunda",4	
185_88622,"Dance FX",4	
185_89085,"Dances w/Wools",4	
185_88469,"Danrich Homes, Inc.",4	
185_88115,"Dansville Central",4	
185_89092,"Dansville Food Pantry",4	
185_89530,"Darien Lake Resort",4	
185_89044,"Dawnbreaker",4	
185_88474,"Dawning Technologies",4	
185_89864,"Daystar",4	
185_89185,"Dazzle School",4	
185_88484,"Decarolis Truck Rental",4	
185_88644,"Delphi Corp.-Engin.",4	
185_88806,"Delphi Corp.-Manu.",4	
185_88480,"Delta Square, Inc.",4	
185_89019,"Destiny Preschool",4	
185_88121,"Destiny School",4	
185_88945,"Diamond Packaging",4	
185_88426,"DiMarco Constructors & Admar",4	
185_89898,"Dios of Rochester CYO Athletics",4	
185_89728,"Discovery Charter",4	
185_88424,"Dorshel Automotive",4	
185_88246,"Downtown United Presbyterian",4	
185_89181,"Dr. Pepper Snapple",4	
185_88234,"Dundee Central",4	
185_88807,"E. I. DuPont deNemours",4	
185_88267,"E. Palmyra Christian School",4	
185_88444,"E.J. Del Monte Corp.",4	
185_88117,"East Irondequoit",4	
185_88118,"East Rochester",4	
185_89198,"Eastman Comm. Music School",4	
185_88808,"Eastman Kodak",4	
185_88680,"Eastman School of Music",4	
185_88245,"Edgerton Child Care Svcs.",4	
185_89505,"EFP Rotenberg, LLP",4	
185_88207,"Elba Central",4	
185_88809,"Eldre Corporation",4	
185_88475,"Eldredge, Fox & Porretti, LLP",4	
185_89887,"Elim Christian Fellowship",4	
185_89544,"Elmwood Pediatrics",4	
